,A,B,S,C
620,"['age=35+', 'number in household=1']",['householder status=own'],0.20709714950552646,0.652014652014652
621,"['marital status=married', 'householder status=own']",['age=35+'],0.21146015125072717,0.8086763070077865
622,['householder status=own'],"['age=35+', 'marital status=married']",0.21146015125072717,0.5626934984520123
623,['marital status=married'],"['age=35+', 'householder status=own']",0.21146015125072717,0.548265460030166
624,"['age=35+', 'householder status=own']",['marital status=married'],0.21146015125072717,0.752198654940507
625,['age=35+'],"['marital status=married', 'householder status=own']",0.21146015125072717,0.5099964924587864
626,"['age=35+', 'marital status=married']",['householder status=own'],0.21146015125072717,0.8247305728871243
627,"['age=14-34', 'language in home=english']",['marital status=single'],0.3240255962769052,0.6173455250761984
628,['age=14-34'],"['marital status=single', 'language in home=english']",0.3240255962769052,0.5535403726708075
629,"['marital status=single', 'language in home=english']",['age=14-34'],0.3240255962769052,0.8883572567783095
630,['marital status=single'],"['age=14-34', 'language in home=english']",0.3240255962769052,0.7920369712051191
631,"['marital status=single', 'age=14-34']",['language in home=english'],0.3240255962769052,0.8865897333863908
632,"['number of children=0', 'ethnic classification=white']","['income=$0-$40,000']",0.2683246073298429,0.5917254650416934
633,"['income=$0-$40,000', 'ethnic classification=white']",['number of children=0'],0.2683246073298429,0.6938698758931929
634,"['income=$0-$40,000', 'number of children=0']",['ethnic classification=white'],0.2683246073298429,0.6972789115646258
635,"['number of children=1+', 'language in home=english']",['type of home=house'],0.24941826643397325,0.7495629370629371
636,['number of children=1+'],"['type of home=house', 'language in home=english']",0.24941826643397325,0.6596153846153846
637,"['type of home=house', 'number of children=1+']",['language in home=english'],0.24941826643397325,0.8867631851085832
638,"['sex=female', 'years in bay area=10+']",['dual incomes=not married'],0.2065154159394997,0.5577376276512176
639,"['dual incomes=not married', 'years in bay area=10+']",['sex=female'],0.2065154159394997,0.5514563106796116
640,"['dual incomes=not married', 'sex=female']",['years in bay area=10+'],0.2065154159394997,0.6549815498154982
641,"['age=35+', 'language in home=english']","['income=$40,000+']",0.21785922047702153,0.5614692653673163
642,['age=35+'],"['income=$40,000+', 'language in home=english']",0.21785922047702153,0.5254296737986671
643,"['income=$40,000+', 'language in home=english']",['age=35+'],0.21785922047702153,0.6136829168373618
644,"['income=$40,000+']","['age=35+', 'language in home=english']",0.21785922047702153,0.5770416024653313
645,"['income=$40,000+', 'age=35+']",['language in home=english'],0.21785922047702153,0.9523204068658614
646,"['education=no college graduate', 'number of children=1+']",['type of home=house'],0.22454915648632925,0.7327954437588989
647,['number of children=1+'],"['type of home=house', 'education=no college graduate']",0.22454915648632925,0.5938461538461538
648,"['type of home=house', 'number of children=1+']",['education=no college graduate'],0.22454915648632925,0.7983453981385729
649,"['type of home=house', 'education=no college graduate']",['number of children=1+'],0.22454915648632925,0.5264234572110467
650,"['sex=female', 'years in bay area=10+']","['income=$0-$40,000']",0.2284758580570099,0.6170463472113119
651,"['income=$0-$40,000', 'years in bay area=10+']",['sex=female'],0.2284758580570099,0.5914909638554217
652,"['income=$0-$40,000', 'sex=female']",['years in bay area=10+'],0.2284758580570099,0.6502483443708609
653,"['age=14-34', 'ethnic classification=white']",['marital status=single'],0.21873182082606166,0.6176591375770021
654,"['marital status=single', 'ethnic classification=white']",['age=14-34'],0.21873182082606166,0.8663594470046083
655,['marital status=single'],"['age=14-34', 'ethnic classification=white']",0.21873182082606166,0.5346605047991468
656,"['marital status=single', 'age=14-34']",['ethnic classification=white'],0.21873182082606166,0.5984878631118186
657,"['education=no college graduate', 'language in home=english']",['type of home=house'],0.3833624200116347,0.60430994956442
658,['education=no college graduate'],"['type of home=house', 'language in home=english']",0.3833624200116347,0.543617240668179
659,"['type of home=house', 'language in home=english']",['education=no college graduate'],0.3833624200116347,0.703871829105474
660,['type of home=house'],"['education=no college graduate', 'language in home=english']",0.3833624200116347,0.6426133593369088
661,"['type of home=house', 'education=no college graduate']",['language in home=english'],0.3833624200116347,0.8987384930105694
662,"['age=35+', 'language in home=english']",['education=no college graduate'],0.227021524141943,0.5850824587706147
663,['age=35+'],"['education=no college graduate', 'language in home=english']",0.227021524141943,0.5475271834444054
664,"['age=35+', 'education=no college graduate']",['language in home=english'],0.227021524141943,0.9220318960425281
665,"['age=35+', 'language in home=english']",['number in household=1'],0.3023560209424084,0.7792353823088456
666,['age=35+'],"['number in household=1', 'language in home=english']",0.3023560209424084,0.7292178183093652
667,"['age=35+', 'number in household=1']",['language in home=english'],0.3023560209424084,0.9519230769230769
668,"['years in bay area=10+', 'language in home=english']","['income=$0-$40,000']",0.35587550901687026,0.5917775090689238
669,['years in bay area=10+'],"['income=$0-$40,000', 'language in home=english']",0.35587550901687026,0.5503823661718399
670,"['income=$0-$40,000', 'language in home=english']",['years in bay area=10+'],0.35587550901687026,0.6379040667361835
671,"['income=$0-$40,000']","['language in home=english', 'years in bay area=10+']",0.35587550901687026,0.5717289719626168
672,"['income=$0-$40,000', 'years in bay area=10+']",['language in home=english'],0.35587550901687026,0.9213102409638554
673,"['marital status=single', 'language in home=english']",['number in household=1'],0.23603839441535776,0.6471291866028708
674,['marital status=single'],"['number in household=1', 'language in home=english']",0.23603839441535776,0.5769640952719517
675,"['marital status=single', 'number in household=1']",['language in home=english'],0.23603839441535776,0.9274285714285714
676,"['sex=male', 'language in home=english']",['type of home=house'],0.23240255962769052,0.5800362976406533
677,['sex=male'],"['type of home=house', 'language in home=english']",0.23240255962769052,0.521030322791001
678,"['sex=male', 'type of home=house']",['language in home=english'],0.23240255962769052,0.8987626546681665
679,"['number of children=0', 'years in bay area=10+']",['language in home=english'],0.36503781268179175,0.9429000751314801
680,['years in bay area=10+'],"['number of children=0', 'language in home=english']",0.36503781268179175,0.5645524066576698
681,['number of children=0'],"['years in bay area=10+', 'language in home=english']",0.36503781268179175,0.5869971936389149
682,"['language in home=english', 'years in bay area=10+']",['number of children=0'],0.36503781268179175,0.6070133010882709
683,"['language in home=english', 'number of children=0']",['years in bay area=10+'],0.36503781268179175,0.6292303835547757
684,"['education=no college graduate', 'number of children=0']","['income=$0-$40,000']",0.28097731239092494,0.7045951859956237
685,"['income=$0-$40,000', 'number of children=0']",['education=no college graduate'],0.28097731239092494,0.7301587301587301
686,"['income=$0-$40,000', 'education=no college graduate']",['number of children=0'],0.28097731239092494,0.5598377281947262
687,"['type of home=house', 'ethnic classification=white']",['age=35+'],0.22033158813263526,0.5424274973147154
688,"['age=35+', 'ethnic classification=white']",['type of home=house'],0.22033158813263526,0.6981566820276498
689,['age=35+'],"['type of home=house', 'ethnic classification=white']",0.22033158813263526,0.5313924938618029
690,"['age=35+', 'type of home=house']",['ethnic classification=white'],0.22033158813263526,0.7694261046216353
691,"['ethnic classification=white', 'householder status=own']",['type of home=house'],0.2395287958115183,0.8420245398773006
692,['householder status=own'],"['type of home=house', 'ethnic classification=white']",0.2395287958115183,0.6373839009287926
693,"['type of home=house', 'householder status=own']",['ethnic classification=white'],0.2395287958115183,0.7575896964121435
694,"['type of home=house', 'ethnic classification=white']",['householder status=own'],0.2395287958115183,0.58968850698174
695,"['householder status=rent', 'number in household=1']",['dual incomes=not married'],0.24796393251890633,0.7264593097571368
696,['householder status=rent'],"['dual incomes=not married', 'number in household=1']",0.24796393251890633,0.5916030534351145
697,"['dual incomes=not married', 'number in household=1']",['householder status=rent'],0.24796393251890633,0.5893536121673004
698,"['dual incomes=not married', 'householder status=rent']",['number in household=1'],0.24796393251890633,0.871676891615542
699,"['householder status=rent', 'language in home=english']",['education=no college graduate'],0.2651250727166958,0.6907919666540356
700,['householder status=rent'],"['education=no college graduate', 'language in home=english']",0.2651250727166958,0.6325468424705066
701,"['householder status=rent', 'education=no college graduate']",['language in home=english'],0.2651250727166958,0.9078685258964143
702,"['householder status=own', 'years in bay area=10+']",['language in home=english'],0.2732693426410704,0.9494694290045478
703,['householder status=own'],"['years in bay area=10+', 'language in home=english']",0.2732693426410704,0.7271671826625387
704,"['householder status=own', 'language in home=english']",['years in bay area=10+'],0.2732693426410704,0.7703977039770398
705,"['householder status=own', 'language in home=english']","['income=$40,000+']",0.2325479930191972,0.6555965559655597
706,['householder status=own'],"['income=$40,000+', 'language in home=english']",0.2325479930191972,0.6188080495356038
707,"['income=$40,000+', 'language in home=english']",['householder status=own'],0.2325479930191972,0.6550594018844735
708,"['income=$40,000+']","['language in home=english', 'householder status=own']",0.2325479930191972,0.6159476117103235
709,"['income=$40,000+', 'householder status=own']",['language in home=english'],0.2325479930191972,0.9546268656716418
710,"['sex=male', 'education=no college graduate']",['dual incomes=not married'],0.2065154159394997,0.6883179835191469
711,"['dual incomes=not married', 'sex=male']",['education=no college graduate'],0.2065154159394997,0.7297019527235354
712,"['number in household=1', 'years in bay area=10+']",['type of home=house'],0.25756253635834786,0.586035737921906
713,"['type of home=house', 'years in bay area=10+']",['number in household=1'],0.25756253635834786,0.5903333333333334
714,"['type of home=house', 'number in household=1']",['years in bay area=10+'],0.25756253635834786,0.7438051238975221
715,"['number in household=1', 'language in home=english']","['income=$0-$40,000']",0.3971785922047702,0.6115091804746977
716,['number in household=1'],"['income=$0-$40,000', 'language in home=english']",0.3971785922047702,0.574101324364095
717,"['income=$0-$40,000', 'language in home=english']",['number in household=1'],0.3971785922047702,0.7119395203336809
718,"['income=$0-$40,000']","['number in household=1', 'language in home=english']",0.3971785922047702,0.6380841121495328
719,"['income=$0-$40,000', 'number in household=1']",['language in home=english'],0.3971785922047702,0.9276494565217391
720,"['sex=male', 'language in home=english']",['number in household=1'],0.2961023851076207,0.7390199637023593
721,['sex=male'],"['number in household=1', 'language in home=english']",0.2961023851076207,0.6638408868601239
722,"['sex=male', 'number in household=1']",['language in home=english'],0.2961023851076207,0.9301050708085884
723,"['householder status=rent', 'number of children=0']",['ethnic classification=white'],0.22178592204770214,0.7089725708972571
724,['householder status=rent'],"['number of children=0', 'ethnic classification=white']",0.22178592204770214,0.529146426092991
725,"['householder status=rent', 'ethnic classification=white']",['number of children=0'],0.22178592204770214,0.7996853696906135
726,"['number in household=1', 'language in home=english']",['dual incomes=not married'],0.3931064572425829,0.6052395879982087
727,['number in household=1'],"['dual incomes=not married', 'language in home=english']",0.3931064572425829,0.5682152617195712
728,"['dual incomes=not married', 'language in home=english']",['number in household=1'],0.3931064572425829,0.7244706512999196
729,['dual incomes=not married'],"['number in household=1', 'language in home=english']",0.3931064572425829,0.6570247933884298
730,"['dual incomes=not married', 'number in household=1']",['language in home=english'],0.3931064572425829,0.9343242309021776
731,"['type of home=house', 'language in home=english']","['income=$0-$40,000']",0.283304246655032,0.5201602136181576
732,"['income=$0-$40,000', 'language in home=english']",['type of home=house'],0.283304246655032,0.5078206465067779
733,"['income=$0-$40,000', 'type of home=house']",['language in home=english'],0.283304246655032,0.8870673952641166
734,"['age=35+', 'number of children=0']",['number in household=1'],0.26919720767888305,0.9424643584521385
735,['age=35+'],"['number in household=1', 'number of children=0']",0.26919720767888305,0.649245878639074
736,"['age=35+', 'number in household=1']",['number of children=0'],0.26919720767888305,0.8475274725274725
737,"['marital status=married', 'language in home=english']","['income=$40,000+']",0.22484002326934263,0.633087633087633
738,['marital status=married'],"['income=$40,000+', 'language in home=english']",0.22484002326934263,0.5829562594268477
739,"['income=$40,000+', 'language in home=english']",['marital status=married'],0.22484002326934263,0.6333469889389595
740,"['income=$40,000+']","['marital status=married', 'language in home=english']",0.22484002326934263,0.5955315870570108
741,"['income=$40,000+', 'marital status=married']",['language in home=english'],0.22484002326934263,0.9484662576687116
742,"['age=14-34', 'householder status=rent']","['income=$0-$40,000']",0.23763816172193136,0.8085106382978723
743,['householder status=rent'],"['income=$0-$40,000', 'age=14-34']",0.23763816172193136,0.5669673837612769
744,"['income=$0-$40,000', 'householder status=rent']",['age=14-34'],0.23763816172193136,0.7350427350427351
745,"['income=$0-$40,000', 'age=14-34']",['householder status=rent'],0.23763816172193136,0.5443037974683544
746,"['age=14-34', 'education=no college graduate']",['dual incomes=not married'],0.3576207097149506,0.7791508238276299
747,['education=no college graduate'],"['dual incomes=not married', 'age=14-34']",0.3576207097149506,0.5071148690451639
748,['age=14-34'],"['dual incomes=not married', 'education=no college graduate']",0.3576207097149506,0.6109316770186335
749,"['dual incomes=not married', 'education=no college graduate']",['age=14-34'],0.3576207097149506,0.7886465683130212
750,['dual incomes=not married'],"['age=14-34', 'education=no college graduate']",0.3576207097149506,0.5977151191054935
751,"['dual incomes=not married', 'age=14-34']",['education=no college graduate'],0.3576207097149506,0.8134303671849157
752,"['language in home=english', 'years in bay area=10+']",['type of home=house'],0.40415939499709136,0.6720677146311971
753,['years in bay area=10+'],"['type of home=house', 'language in home=english']",0.40415939499709136,0.6250562303193882
754,"['type of home=house', 'years in bay area=10+']",['language in home=english'],0.40415939499709136,0.9263333333333333
755,['type of home=house'],"['years in bay area=10+', 'language in home=english']",0.40415939499709136,0.6774744027303754
756,"['type of home=house', 'language in home=english']",['years in bay area=10+'],0.40415939499709136,0.7420560747663552
757,"['type of home=house', 'education=no college graduate']","['income=$0-$40,000']",0.2697789412449098,0.6324582338902148
758,"['income=$0-$40,000', 'education=no college graduate']",['type of home=house'],0.2697789412449098,0.537525354969574
759,"['income=$0-$40,000', 'type of home=house']",['education=no college graduate'],0.2697789412449098,0.8447176684881603
760,"['age=14-34', 'sex=female']",['dual incomes=not married'],0.22585805700988948,0.7133670188332568
761,"['dual incomes=not married', 'sex=female']",['age=14-34'],0.22585805700988948,0.7163284132841329
762,"['dual incomes=not married', 'age=14-34']",['sex=female'],0.22585805700988948,0.5137280846840887
763,"['years in bay area=10+', 'language in home=english']",['sex=female'],0.3459860383944154,0.5753325272067714
764,['years in bay area=10+'],"['sex=female', 'language in home=english']",0.3459860383944154,0.5350877192982456
765,"['sex=female', 'language in home=english']",['years in bay area=10+'],0.3459860383944154,0.6754684838160137
766,['sex=female'],"['language in home=english', 'years in bay area=10+']",0.3459860383944154,0.6245733788395904
767,"['sex=female', 'years in bay area=10+']",['language in home=english'],0.3459860383944154,0.934406912804399
768,"['ethnic classification=white', 'years in bay area=10+']",['type of home=house'],0.29668411867364747,0.6903553299492385
769,"['type of home=house', 'years in bay area=10+']",['ethnic classification=white'],0.29668411867364747,0.68
770,"['type of home=house', 'ethnic classification=white']",['years in bay area=10+'],0.29668411867364747,0.7303974221267454
771,"['years in bay area=10+', 'householder status=own']",['marital status=married'],0.2025887143688191,0.7038908539666499
772,['householder status=own'],"['marital status=married', 'years in bay area=10+']",0.2025887143688191,0.5390866873065016
773,"['marital status=married', 'householder status=own']",['years in bay area=10+'],0.2025887143688191,0.7747497219132369
774,['marital status=married'],"['householder status=own', 'years in bay area=10+']",0.2025887143688191,0.52526395173454
775,"['marital status=married', 'years in bay area=10+']",['householder status=own'],0.2025887143688191,0.7587145969498911
776,"['years in bay area=10+', 'language in home=english']",['age=14-34'],0.30497382198952877,0.5071342200725514
777,"['age=14-34', 'language in home=english']",['years in bay area=10+'],0.30497382198952877,0.5810473815461347
778,['age=14-34'],"['language in home=english', 'years in bay area=10+']",0.30497382198952877,0.5209937888198758
779,"['age=14-34', 'years in bay area=10+']",['language in home=english'],0.30497382198952877,0.9181260945709282
780,"['type of home=house', 'education=no college graduate']",['age=14-34'],0.2601803374054683,0.6099556767814525
781,"['age=14-34', 'education=no college graduate']",['type of home=house'],0.2601803374054683,0.5668567807351077
782,"['age=14-34', 'type of home=house']",['education=no college graduate'],0.2601803374054683,0.8387248007501172
783,"['education=no college graduate', 'years in bay area=10+']",['dual incomes=not married'],0.2994473531122746,0.6315950920245399
784,"['dual incomes=not married', 'years in bay area=10+']",['education=no college graduate'],0.2994473531122746,0.7996116504854369
785,['dual incomes=not married'],"['education=no college graduate', 'years in bay area=10+']",0.2994473531122746,0.5004861448711716
786,"['dual incomes=not married', 'education=no college graduate']",['years in bay area=10+'],0.2994473531122746,0.6603592046183451
787,"['number of children=0', 'years in bay area=10+']",['number in household=1'],0.34467713787085513,0.8903080390683696
788,['years in bay area=10+'],"['number in household=1', 'number of children=0']",0.34467713787085513,0.5330634278002699
789,['number of children=0'],"['number in household=1', 'years in bay area=10+']",0.34467713787085513,0.5542563143124415
790,"['number in household=1', 'years in bay area=10+']",['number of children=0'],0.34467713787085513,0.7842488418266049
791,"['number in household=1', 'number of children=0']",['years in bay area=10+'],0.34467713787085513,0.6230283911671924
792,"['householder status=rent', 'education=no college graduate']",['age=14-34'],0.21044211751018033,0.7206175298804781
793,['householder status=rent'],"['age=14-34', 'education=no college graduate']",0.21044211751018033,0.5020818875780708
794,"['householder status=rent', 'age=14-34']",['education=no college graduate'],0.21044211751018033,0.7159821870361207
795,"['sex=male', 'ethnic classification=white']",['number of children=0'],0.21480511925538104,0.7392392392392393
796,"['sex=male', 'number of children=0']",['ethnic classification=white'],0.21480511925538104,0.7145621673923561
797,"['householder status=rent', 'number of children=0']",['dual incomes=not married'],0.24200116346713205,0.7735936773593677
798,['householder status=rent'],"['dual incomes=not married', 'number of children=0']",0.24200116346713205,0.5773768216516308
799,"['dual incomes=not married', 'number of children=0']",['householder status=rent'],0.24200116346713205,0.6095238095238096
800,"['dual incomes=not married', 'householder status=rent']",['number of children=0'],0.24200116346713205,0.8507157464212679
801,"['education=no college graduate', 'sex=female']",['number in household=1'],0.25494473531122747,0.6292175161521896
802,"['number in household=1', 'sex=female']",['education=no college graduate'],0.25494473531122747,0.682632398753894
803,"['number in household=1', 'education=no college graduate']",['sex=female'],0.25494473531122747,0.5643915003219575
804,"['sex=female', 'ethnic classification=white']",['type of home=house'],0.23894706224549156,0.6302263137706176
805,"['type of home=house', 'ethnic classification=white']",['sex=female'],0.23894706224549156,0.5882563551736484
806,"['type of home=house', 'sex=female']",['ethnic classification=white'],0.23894706224549156,0.7069707401032702
807,"['sex=male', 'language in home=english']",['number of children=0'],0.27821407795229786,0.6943738656987296
808,['sex=male'],"['number of children=0', 'language in home=english']",0.27821407795229786,0.6237365503749592
809,"['sex=male', 'number of children=0']",['language in home=english'],0.27821407795229786,0.9254958877600387
810,"['householder status=rent', 'type of home=apartment']","['income=$0-$40,000']",0.20171611401977893,0.8045243619489559
811,['type of home=apartment'],"['income=$0-$40,000', 'householder status=rent']",0.20171611401977893,0.7319261213720316
812,"['income=$0-$40,000', 'type of home=apartment']",['householder status=rent'],0.20171611401977893,0.8994811932555123
813,"['income=$0-$40,000', 'householder status=rent']",['type of home=apartment'],0.20171611401977893,0.6239316239316239
814,"['number of children=0', 'years in bay area=1-9']",['number in household=1'],0.20855148342059338,0.8884758364312267
815,['years in bay area=1-9'],"['number in household=1', 'number of children=0']",0.20855148342059338,0.5901234567901235
816,"['number in household=1', 'years in bay area=1-9']",['number of children=0'],0.20855148342059338,0.8265129682997118
817,"['dual incomes=not married', 'sex=male']",['marital status=single'],0.20898778359511344,0.7384378211716341
818,"['marital status=single', 'sex=male']",['dual incomes=not married'],0.20898778359511344,1.0
819,['marital status=single'],"['dual incomes=not married', 'sex=male']",0.20898778359511344,0.510842516885887
820,"['marital status=single', 'dual incomes=not married']",['sex=male'],0.20898778359511344,0.510842516885887
821,"['education=college graduate', 'language in home=english']",['ethnic classification=white'],0.2210587550901687,0.793733681462141
822,['education=college graduate'],"['ethnic classification=white', 'language in home=english']",0.2210587550901687,0.7498766650222003
823,"['education=college graduate', 'ethnic classification=white']",['language in home=english'],0.2210587550901687,0.988939492517892
824,"['ethnic classification=white', 'years in bay area=10+']",['number in household=1'],0.3148632926119837,0.7326565143824028
825,"['number in household=1', 'years in bay area=10+']",['ethnic classification=white'],0.3148632926119837,0.7164129715420251
826,"['number in household=1', 'ethnic classification=white']",['years in bay area=10+'],0.3148632926119837,0.6295434719395173
827,"['education=no college graduate', 'ethnic classification=white']",['type of home=house'],0.2747236765561373,0.6157105606258149
828,"['type of home=house', 'ethnic classification=white']",['education=no college graduate'],0.2747236765561373,0.6763336913712854
829,"['type of home=house', 'education=no college graduate']",['ethnic classification=white'],0.2747236765561373,0.6440504602795772
830,"['number of children=0', 'language in home=english']",['age=14-34'],0.30875509016870273,0.5322135873652545
831,"['age=14-34', 'language in home=english']",['number of children=0'],0.30875509016870273,0.5882515932391245
832,['age=14-34'],"['number of children=0', 'language in home=english']",0.30875509016870273,0.5274534161490684
833,"['age=14-34', 'number of children=0']",['language in home=english'],0.30875509016870273,0.9182525951557093
834,"['sex=male', 'language in home=english']",['age=14-34'],0.2372018615474113,0.5920145190562613
835,['sex=male'],"['age=14-34', 'language in home=english']",0.2372018615474113,0.5317900228236061
836,"['age=14-34', 'sex=male']",['language in home=english'],0.2372018615474113,0.8825757575757576
837,"['marital status=married', 'ethnic classification=white']",['number in household=1'],0.20055264688772542,0.7197286012526096
838,['marital status=married'],"['number in household=1', 'ethnic classification=white']",0.20055264688772542,0.5199849170437406
839,"['number in household=1', 'marital status=married']",['ethnic classification=white'],0.20055264688772542,0.7769014084507042
840,"['dual incomes=not married', 'type of home=house']","['income=$0-$40,000']",0.2255671902268761,0.7251051893408135
841,"['income=$0-$40,000', 'type of home=house']",['dual incomes=not married'],0.2255671902268761,0.7062841530054644
842,"['number in household=1', 'occupation=professional/managerial']",['number of children=0'],0.22338568935427575,0.8329718004338394
843,['occupation=professional/managerial'],"['number in household=1', 'number of children=0']",0.22338568935427575,0.6583797685383627
844,"['number of children=0', 'occupation=professional/managerial']",['number in household=1'],0.22338568935427575,0.9383017715332926
845,"['sex=female', 'years in bay area=10+']",['education=no college graduate'],0.28083187899941825,0.7584446190102121
846,['sex=female'],"['education=no college graduate', 'years in bay area=10+']",0.28083187899941825,0.5069572066159097
847,"['education=no college graduate', 'years in bay area=10+']",['sex=female'],0.28083187899941825,0.5923312883435583
848,"['education=no college graduate', 'sex=female']",['years in bay area=10+'],0.28083187899941825,0.6931083991385499
849,"['marital status=married', 'language in home=english']",['number in household=1'],0.24374636416521234,0.6863226863226863
850,['marital status=married'],"['number in household=1', 'language in home=english']",0.24374636416521234,0.6319758672699849
851,"['number in household=1', 'marital status=married']",['language in home=english'],0.24374636416521234,0.9442253521126761
852,"['number of children=0', 'years in bay area=10+']",['type of home=house'],0.23225712623618383,0.5999248685199099
853,"['type of home=house', 'years in bay area=10+']",['number of children=0'],0.23225712623618383,0.5323333333333333
854,"['type of home=house', 'number of children=0']",['years in bay area=10+'],0.23225712623618383,0.7366236162361623
855,"['householder status=rent', 'language in home=english']",['dual incomes=not married'],0.26527050610820246,0.6911708980674498
856,['householder status=rent'],"['dual incomes=not married', 'language in home=english']",0.26527050610820246,0.6328938237335184
857,"['dual incomes=not married', 'householder status=rent']",['language in home=english'],0.26527050610820246,0.9325153374233128
858,"['ethnic classification=white', 'language in home=english']",['dual incomes=not married'],0.37492728330424663,0.5684674751929437
859,['ethnic classification=white'],"['dual incomes=not married', 'language in home=english']",0.37492728330424663,0.5598262757871878
860,"['dual incomes=not married', 'language in home=english']",['ethnic classification=white'],0.37492728330424663,0.6909675690163495
861,['dual incomes=not married'],"['ethnic classification=white', 'language in home=english']",0.37492728330424663,0.6266407389402042
862,"['dual incomes=not married', 'ethnic classification=white']",['language in home=english'],0.37492728330424663,0.9813475447278264
863,"['number in household=1', 'years in bay area=10+']","['income=$0-$40,000']",0.26192553810354857,0.5959629384513567
864,"['income=$0-$40,000', 'years in bay area=10+']",['number in household=1'],0.26192553810354857,0.6780873493975904
865,"['income=$0-$40,000', 'number in household=1']",['years in bay area=10+'],0.26192553810354857,0.6117527173913043
866,"['marital status=married', 'language in home=english']",['dual incomes=yes'],0.21902268760907503,0.6167076167076168
867,['marital status=married'],"['dual incomes=yes', 'language in home=english']",0.21902268760907503,0.5678733031674208
868,"['dual incomes=yes', 'language in home=english']",['marital status=married'],0.21902268760907503,0.9365671641791045
869,['dual incomes=yes'],"['marital status=married', 'language in home=english']",0.21902268760907503,0.8645235361653272
870,"['dual incomes=yes', 'marital status=married']",['language in home=english'],0.21902268760907503,0.9239263803680982
871,"['dual incomes=not married', 'ethnic classification=white']",['marital status=single'],0.2524723676556137,0.6608298439284355
872,"['marital status=single', 'ethnic classification=white']",['dual incomes=not married'],0.2524723676556137,1.0
873,['marital status=single'],"['dual incomes=not married', 'ethnic classification=white']",0.2524723676556137,0.6171347316032705
874,"['marital status=single', 'dual incomes=not married']",['ethnic classification=white'],0.2524723676556137,0.6171347316032705
875,"['education=no college graduate', 'ethnic classification=white']","['income=$0-$40,000']",0.2990110529377545,0.6701434159061278
876,"['income=$0-$40,000', 'ethnic classification=white']",['education=no college graduate'],0.2990110529377545,0.773223016171493
877,"['income=$0-$40,000', 'education=no college graduate']",['ethnic classification=white'],0.2990110529377545,0.5957693422196465
878,"['age=14-34', 'type of home=house']",['marital status=single'],0.2111692844677138,0.680731364275668
879,"['marital status=single', 'type of home=house']",['age=14-34'],0.2111692844677138,0.9272030651340997
880,['marital status=single'],"['age=14-34', 'type of home=house']",0.2111692844677138,0.5161749022396018
881,"['marital status=single', 'age=14-34']",['type of home=house'],0.2111692844677138,0.5777954635893354
882,"['ethnic classification=white', 'language in home=english']",['education=no college graduate'],0.43848167539267013,0.6648291069459757
883,['ethnic classification=white'],"['education=no college graduate', 'language in home=english']",0.43848167539267013,0.6547231270358306
884,"['education=no college graduate', 'language in home=english']",['ethnic classification=white'],0.43848167539267013,0.6911966987620357
885,['education=no college graduate'],"['ethnic classification=white', 'language in home=english']",0.43848167539267013,0.6217776861208497
886,"['education=no college graduate', 'ethnic classification=white']",['language in home=english'],0.43848167539267013,0.9827249022164276
887,"['age=14-34', 'number in household=1']",['dual incomes=not married'],0.27254217568353695,0.7283326855810338
888,"['dual incomes=not married', 'number in household=1']",['age=14-34'],0.27254217568353695,0.6477704804701002
889,"['dual incomes=not married', 'age=14-34']",['number in household=1'],0.27254217568353695,0.6199139927224612
890,"['number in household=1', 'ethnic classification=white']","['income=$0-$40,000']",0.2914485165794066,0.582727537074731
891,"['income=$0-$40,000', 'ethnic classification=white']",['number in household=1'],0.2914485165794066,0.7536667920270779
892,"['income=$0-$40,000', 'number in household=1']",['ethnic classification=white'],0.2914485165794066,0.6807065217391305
893,"['marital status=single', 'dual incomes=not married']","['income=$0-$40,000']",0.33027923211169286,0.8073231425524351
894,['dual incomes=not married'],"['income=$0-$40,000', 'marital status=single']",0.33027923211169286,0.5520175012153622
895,['marital status=single'],"['income=$0-$40,000', 'dual incomes=not married']",0.33027923211169286,0.8073231425524351
896,"['income=$0-$40,000', 'dual incomes=not married']",['marital status=single'],0.33027923211169286,0.7146003775959723
897,"['income=$0-$40,000']","['marital status=single', 'dual incomes=not married']",0.33027923211169286,0.530607476635514
898,"['income=$0-$40,000', 'marital status=single']",['dual incomes=not married'],0.33027923211169286,1.0
899,"['years in bay area=1-9', 'language in home=english']","['income=$0-$40,000']",0.2020069808027923,0.6484593837535014
900,['years in bay area=1-9'],"['income=$0-$40,000', 'language in home=english']",0.2020069808027923,0.571604938271605
901,"['income=$0-$40,000', 'years in bay area=1-9']",['language in home=english'],0.2020069808027923,0.8552955665024631
902,"['education=no college graduate', 'number of children=1+']",['age=14-34'],0.2296393251890634,0.749406739439962
903,['number of children=1+'],"['age=14-34', 'education=no college graduate']",0.2296393251890634,0.6073076923076923
904,"['age=14-34', 'number of children=1+']",['education=no college graduate'],0.2296393251890634,0.9217746643315821
905,"['age=14-34', 'education=no college graduate']",['number of children=1+'],0.2296393251890634,0.5003168567807351
906,"['number in household=1', 'education=no college graduate']",['dual incomes=not married'],0.28999418266433974,0.6419832582099163
907,"['dual incomes=not married', 'education=no college graduate']",['number in household=1'],0.28999418266433974,0.6395125080179602
908,"['dual incomes=not married', 'number in household=1']",['education=no college graduate'],0.28999418266433974,0.6892499135845144
909,"['age=14-34', 'sex=female']",['education=no college graduate'],0.25363583478766727,0.801102434542949
